City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,axim,4.8699,-2.2405,299.35,75,75,4.45,GH,1628157074
84,westport,41.1415,-73.3579,293.14,93,90,1.34,US,1628157075
85,east london,-33.0153,27.9116,293.67,73,20,3.6,ZA,1628157076
86,salalah,17.0151,54.0924,298.66,88,100,2.91,OM,1628157077
87,north bend,43.4065,-124.2243,288.1,100,90,2.57,US,1628156918
88,thompson,55.7435,-97.8558,275.24,93,40,0.0,CA,1628157078
89,los cedrales,-25.65,-54.7,286.24,80,100,1.68,PY,1628157078
90,yumen,40.2833,97.2,306.26,8,100,8.05,CN,1628157079
91,adrar,20.5022,-10.0711,308.6,15,6,7.82,MR,1628157079
92,namibe,-15.1961,12.1522,294.5,78,0,0.0,AO,1628157079
93,bambous virieux,-20.3428,57.7575,296.6,60,40,7.2,MU,1628157080
94,padang,-0.9492,100.3543,303.18,70,96,2.01,ID,1628157080
95,horki,54.2861,30.9842,292.14,72,97,3.62,BY,1628157081
96,businga,3.3333,20.8833,308.09,40,22,1.24,CD,1628157081
97,hermanus,-34.4187,19.2345,291.43,83,17,3.49,ZA,1628157081
98,la ronge,55.1001,-105.2842,285.29,94,20,1.54,CA,1628157082
99,punta arenas,-53.15,-70.9167,276.21,93,0,3.09,CL,1628157082
100,bouar,5.934,15.596,298.14,68,94,1.77,CF,1628157082
101,pangnirtung,66.1451,-65.7125,279.15,100,90,2.06,CA,1628157083
102,baruun-urt,46.6806,113.2792,292.66,58,70,2.08,MN,1628157083
103,bredasdorp,-34.5322,20.0403,289.97,67,100,4.12,ZA,1628157084
104,mackay,-21.15,149.2,289.14,59,5,0.0,AU,1628157085
105,port alfred,-33.5906,26.891,292.08,83,95,6.29,ZA,1628157085
106,husavik,66.0449,-17.3389,284.1,84,85,1.98,IS,1628157086
107,charters towers,-20.1,146.2667,287.05,29,3,4.14,AU,1628157086
108,atuona,-9.8,-139.0333,298.26,72,18,4.95,PF,1628157087
109,beringovskiy,63.05,179.3167,281.78,89,99,9.91,RU,1628157087
110,saint george,37.1041,-113.5841,304.41,23,1,0.45,US,1628157087
111,altagracia de orituco,9.8601,-66.3814,292.61,96,36,1.21,VE,1628157088
112,souillac,-20.5167,57.5167,296.68,60,40,7.2,MU,1628157088
113,lavrentiya,65.5833,-171.0,283.86,92,91,2.41,RU,1628157088
114,kapaa,22.0752,-159.319,299.33,71,75,2.24,US,1628157089
115,touros,-5.1989,-35.4608,294.65,76,33,6.69,BR,1628157089
116,khani,41.9563,42.9566,300.91,35,0,2.57,GE,1628157090
117,mali,12.079,-12.2982,287.77,85,96,1.49,GN,1628157090
118,naze,28.3667,129.4833,298.66,90,97,10.19,JP,1628157090
119,kashi,39.4547,75.9797,305.71,18,20,5.0,CN,1628157091
120,saskylakh,71.9167,114.0833,294.38,31,28,6.03,RU,1628157091
121,raudeberg,61.9875,5.1352,290.52,77,78,5.82,NO,1628157092
122,tiznit,29.5833,-9.5,299.09,49,0,2.24,MA,1628157092
123,poso,-1.3959,120.7524,300.42,79,94,0.09,ID,1628157094
124,cape town,-33.9258,18.4232,292.1,74,20,0.45,ZA,1628156924
125,andenes,69.3143,16.1194,286.14,88,75,4.12,NO,1628157095
126,upernavik,72.7868,-56.1549,280.56,70,11,0.37,GL,1628157096
127,oranjemund,-28.55,16.4333,290.88,53,15,3.31,NA,1628157096
128,chuy,-33.6971,-53.4616,284.4,94,47,3.01,UY,1628157096
129,avarua,-21.2078,-159.775,293.18,100,75,1.03,CK,1628157097
130,hokitika,-42.7167,170.9667,281.69,84,100,3.69,NZ,1628157097
131,dekar,-21.5333,21.9333,297.65,18,2,4.21,BW,1628157097
132,nago,26.5881,127.9761,302.39,92,100,9.39,JP,1628157098
133,mercedes,-34.6515,-59.4307,281.4,92,0,3.31,AR,1628157098
134,narsaq,60.9167,-46.05,282.05,74,44,0.79,GL,1628157099
135,villazon,-22.0866,-65.5942,274.02,90,56,1.1,BO,1628157099
136,mandalgovi,45.7625,106.2708,297.83,26,17,3.73,MN,1628157100
137,beyneu,45.3167,55.2,314.15,9,23,0.55,KZ,1628157100
138,solnechnyy,50.7214,136.6319,288.88,90,100,0.68,RU,1628157100
139,victoria,22.2855,114.1577,303.14,92,100,0.45,HK,1628156943
140,samarai,-10.6167,150.6667,298.71,70,99,6.58,PG,1628157101
141,tasiilaq,65.6145,-37.6368,278.4,77,85,0.19,GL,1628157101
142,saint-philippe,-21.3585,55.7679,295.92,77,66,7.48,RE,1628157102
143,atagay,55.1033,99.3875,299.07,49,81,2.53,RU,1628157102
144,mehamn,71.0357,27.8492,284.1,78,28,6.11,NO,1628157102
145,sistranda,63.7256,8.834,290.13,71,100,1.95,NO,1628157103
146,buchanan,5.8808,-10.0467,299.13,82,100,5.81,LR,1628157103
147,borovo,45.3764,18.9669,295.61,88,40,4.12,HR,1628157103
148,port moresby,-9.4431,147.1797,297.83,73,40,5.14,PG,1628156805
149,muroto,33.2833,134.15,302.17,79,0,3.23,JP,1628157104
150,norman wells,65.282,-126.8329,284.17,76,40,3.09,CA,1628157104
151,ufa,54.775,56.0375,302.8,50,82,0.61,RU,1628157105
152,carora,10.1755,-70.0827,295.81,76,95,3.4,VE,1628157105
153,butaritari,3.0707,172.7902,301.85,65,14,3.82,KI,1628157106
154,forchheim,49.7175,11.0588,293.94,64,77,1.97,DE,1628157106
155,svetlyy,54.675,20.1347,294.18,48,21,3.88,RU,1628157106
156,tuatapere,-46.1333,167.6833,276.38,83,88,1.69,NZ,1628157107
157,broome,42.2506,-75.833,287.41,88,1,0.0,US,1628157107
158,blagoyevo,63.3667,47.9167,289.18,49,61,4.41,RU,1628157107
159,lata,40.1629,-8.3327,298.42,53,9,2.38,PT,1628157108
160,nome,64.5011,-165.4064,286.57,87,90,8.23,US,1628157057
161,berlevag,70.8578,29.0864,284.12,82,75,3.6,NO,1628157108
162,cidreira,-30.1811,-50.2056,287.8,95,100,4.01,BR,1628157109
163,huarmey,-10.0681,-78.1522,290.67,89,59,3.69,PE,1628157109
164,geelong,-38.1471,144.3607,286.94,87,90,3.58,AU,1628157027
165,zhaoyang,42.682,126.0305,296.87,71,97,3.68,CN,1628157110
166,qaqortoq,60.7167,-46.0333,281.86,80,52,1.0,GL,1628157110
167,sola,-13.8833,167.55,296.52,100,20,0.0,VU,1628157111
168,bengkulu,-3.8004,102.2655,300.75,74,100,2.16,ID,1628157111
169,tabou,4.423,-7.3528,299.37,73,90,4.8,CI,1628157112
170,changde,29.0464,111.6783,303.23,79,49,5.0,CN,1628157112
171,mayo,38.8876,-76.5119,291.55,94,0,3.44,US,1628157113
172,srednekolymsk,67.45,153.6833,281.59,74,100,3.43,RU,1628157113
173,borogontsy,62.6683,131.1683,295.61,31,19,2.65,RU,1628157113
174,mora,11.0461,14.1401,303.92,68,97,1.57,CM,1628157114
